GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prak6,org.example,Main,7,0,0,0,3,0,2,0,2,0
prak6,org.example,StatisticsService,0,31,0,4,0,6,0,4,0,2
